"user","post","date"
"mike70z.bsky.social","Missouri's Governor just signed the GOP's illegal map. It will now be sued.","2025-09-28T21:11:35.094Z"
"mike70z.bsky.social","The mistake was not prosecuting and removing from office every nazi republican who participated in the 1st coup attempt.","2025-09-28T15:48:05.709Z"
"mike70z.bsky.social","They can try to rewrite it all they want.... We have it on video. We have it on audio. We have it in transcripts. We have it in reporting. Looks like the enablers have guilty consciences. If Trump was so interested in his """"legacy"""" he'd be doing things much differently than he's doing now.","2025-09-28T16:28:33.327Z"
"mike70z.bsky.social","Occam's Razor always rules. Always.","2025-09-28T14:25:24.222Z"
"mike70z.bsky.social","@govpritzker.illinois.gov what authority does ICE have to manage use of public roads? That sounds like a job for local and state law enforcement. Not ICE.","2025-09-28T02:42:01.520Z"
"mike70z.bsky.social","It’s all going to come out.","2025-09-28T04:13:22.052Z"
"mike70z.bsky.social","😳","2025-09-27T21:50:46.616Z"
"mike70z.bsky.social","Amen. And not just us old people. Our grandchildren will understand, because we'll tell them.","2025-09-28T00:49:59.167Z"
"mike70z.bsky.social","skeevy weasel","2025-09-28T00:11:53.715Z"
"mike70z.bsky.social","KKK=heritage foundation=MAGA=ICE. this is just pure observation.","2025-09-27T16:53:31.540Z"
"mike70z.bsky.social","If anyone from Texas calls this anything but a 'dereliction of duty,' then they need to be impeached, too","2025-09-27T01:29:03.274Z"
"mike70z.bsky.social","Yes. @cristianfarias.com nails this. Not just the core holding of the Court’s immunity decision, but CJ Roberts’ gratuitous opining that the President’s control of DOJ - even for sham prosecutions - cannot be reviewed, imperils every person on Trump’s enemies list. nymag.com/intelligence...","2025-09-27T16:14:33.002Z"
"mike70z.bsky.social","Finnish President Stubb on the UN: No single state should have a veto power. If a Security Council member violates the U.N Charter, its voting rights should be suspended. #cdnpoli","2025-09-27T09:49:27.317Z"
"mike70z.bsky.social","We won't. 🍁 Buh-bye! 🖐🏻","2025-09-27T14:26:09.851Z"
"mike70z.bsky.social","People who should be charged with lying to Congress, Part 2.","2025-09-25T23:29:10.046Z"
"mike70z.bsky.social","Let’s share this to all!!! United Nations should never recognize this war criminal!!!","2025-09-26T17:55:51.398Z"
"mike70z.bsky.social","This should be enforced ASAP.","2025-08-27T16:35:47.208Z"
"mike70z.bsky.social","youtube.com/watch?v=5ifJ...","2025-08-27T06:13:17.427Z"
"mike70z.bsky.social","Anyone who choses guns over kids is an accomplice to mass murders. Period.","2025-08-27T18:12:18.180Z"
"mike70z.bsky.social","Moore: """"The thing that gets me most about this is how deeply disrespectful this is to members of the National Guard who signed up for this job as I did when I deployed overseas & led paratroopers in combat where we signed up w/the expectation the commander in chief was actually taking it seriously""""","2025-08-27T01:13:04.112Z"
"mike70z.bsky.social","Constituent at Rep. Mark Alford's (R-MO) town hall: """"You need to take your head out of Trump's ass!""""","2025-08-26T14:36:31.549Z"
"mike70z.bsky.social","Speak Truth....to the Executive EPSTEIN DISTRACTION......","2025-08-26T00:40:32.043Z"
"mike70z.bsky.social","This fucker gave us a corrupt Supreme Court and the country went to hell because of it. Traitor to this Nation.","2025-08-24T21:31:59.437Z"
"mike70z.bsky.social","IT AIN'T DEI. IT'S NECESSITY IS THE MOTHER OF INVENTION. THERE'S NO COLOR BARRIER TO INNOVATION. youtube.com/watch?v=lC-M...","2025-08-24T06:59:14.514Z"
"mike70z.bsky.social","This hits right on time… My wife and I had the great privilege of visiting the African-American Museum in DC, and let me just tell you if you have not been…It is a masterpiece—go.","2025-08-25T02:34:10.734Z"
"mike70z.bsky.social","CANCEL THE CUTS RELEASE THE FILES","2025-08-25T00:51:48.596Z"
"mike70z.bsky.social","This is why they have begun arresting people filming. Share your videos, and post live so that the video is preserved and can be used as evidence against them.","2025-08-24T17:53:38.318Z"
"mike70z.bsky.social","Is being dyed blond a requirement to have a high ranking post now?","2025-08-24T17:46:16.603Z"
"mike70z.bsky.social","#BlueCrew #BlueCircleFamily🌈🦋 #BluePetPatrol💙🐾 #Resist #ProudBlue #antimaga #Resist #TruthWarriors #StrongerTogether #ICE #AbolishICE #ImmigrantRights #ImmigrationPolicy","2025-08-23T23:45:45.896Z"
"mike70z.bsky.social","Now do you get why they don't want Blacks and Hispanics out of their communities and in theres !!! 💯","2025-08-24T00:13:54.521Z"
"mike70z.bsky.social","💯","2025-08-24T02:43:41.052Z"
"mike70z.bsky.social","At 2:00 a.m., Texas Republicans passed their gerrymandered congressional map. At 8:00 a.m., with the support of the National Redistricting Foundation, my law firm sued. www.democracydocket.com/news-alerts/...","2025-08-24T00:59:31.428Z"
"mike70z.bsky.social","« …recognize the equal and unconditional dignity of each and every individual. »","2025-08-23T18:57:07.026Z"
"mike70z.bsky.social","Amen","2025-08-23T16:21:11.454Z"
"mike70z.bsky.social","New documentary out this fall, you can check their website for how to see it. sinsofourfathersfilm.com","2025-08-22T21:17:40.805Z"
"mike70z.bsky.social","yes he absolutely is .... John Roberts Is Responsible For America’s Embarrassing Gerrymandering Mess talkingpointsmemo.com/cafe/john-ro...","2025-08-22T16:04:21.347Z"
"mike70z.bsky.social","🚨BREAKING: Federal Court BLOCKS implementation of Trump administration’s dangerous new rule that would strip health coverage from more than 2.2 million people, raise costs for working families, and undermine the Affordable Care Act’s core protections. A huge win for @democracyforward.org.","2025-08-22T15:49:06.303Z"
"mike70z.bsky.social","I’ll repeat my advice to Dems in blue states on how to respond to GOP gerrymandering: Get caught trying. Yes, we’re boxed in by various state laws, but look at what Gavin Newsom is accomplishing by fighting. So to MD/OR/IL/NY/NJ/WA or any other blue state with red seats: GET. CAUGHT. TRYING.","2025-08-22T00:25:40.528Z"
"mike70z.bsky.social","Did they publicly apologize and reinstate everything and commit to even more diversity in BUYING??? No? Then FUCK Target, I STILL haven’t spent one thin dime.","2025-08-21T17:27:00.551Z"
"mike70z.bsky.social","“Those of you who feel like this is okay, get ready for the fight. Because the fight ain’t over. It’s not over until we’ve energized America to save Democracy.”","2025-08-20T23:42:52.417Z"
