"user","post","date"
"nanarose2018.bsky.social","TY Lauren 💙 @ltwlauren.bsky.social @mortenc.bsky.social @hourofignorance.bsky.social @moberzan.bsky.social @happy213.bsky.social @thisdudeabides.bsky.social @dougfiu.bsky.social @softtail65.bsky.social @sebastiangarof5.bsky.social @weriseupagain.bsky.social","2026-02-18T02:27:44.090Z"
"nanarose2018.bsky.social","I hope she who shall not be named read this entire letter. Did you mail it to her? Email?DM? youtube.com/post/Ugkx7o5...","2026-02-17T17:42:40.177Z"
"nanarose2018.bsky.social","📢CBS pulled the interview out of fear of the 🟧🤡... so Colbert put the whole interview up on Youtube. Talarico- 'I think they fear we're going to flip TX.'","2026-02-17T17:03:45.629Z"
"nanarose2018.bsky.social","I've heard that he hates it when we call his The Epstein Presidency. Let's all not call it that, every day.","2026-02-17T12:37:05.063Z"
"nanarose2018.bsky.social","A real American standing for American values. Stand up take a bow we need more citizens just like you. Take a stand against the facist regime Gestapo law breakers.","2026-02-17T17:28:40.575Z"
"nanarose2018.bsky.social","substack.com/@jamestalari...","2026-02-17T13:22:49.590Z"
"nanarose2018.bsky.social","YIKES! Who made this? This will give you nightmares. 🚨","2026-02-16T19:42:20.830Z"
"nanarose2018.bsky.social","About time someone step down on the list. He fat guy this is a clue for you. youtube.com/post/UgkxCmr...","2026-02-17T00:21:04.148Z"
"nanarose2018.bsky.social","Drip......drip.......drip How many drips till the dam breaks?🤔 youtube.com/shorts/5hR1c...","2026-02-16T20:36:08.227Z"
"nanarose2018.bsky.social","""""The Baltimore County Council will convene an emergency session Tuesday to consider legislation to ban private persons, corporations, property owners or third-party contractors from gaining permits to operate detention centers in the county...."""" www.wbaltv.com/article/balt...","2026-02-16T18:43:25.464Z"
"nanarose2018.bsky.social","So deserving of social isolation. Send him to Cracker Barrel.","2026-02-16T18:45:07.709Z"
"nanarose2018.bsky.social","youtube.com/shorts/2XxsQ...","2026-02-16T18:01:29.963Z"
"nanarose2018.bsky.social","youtube.com/shorts/pN3jZ...","2026-02-16T17:50:41.631Z"
"nanarose2018.bsky.social","If they are doing legal arrest in lawful way then they should not want or need a mask. This is facisim. They operate like a gestapo. If it looks like a Gestapo and it acts like a gestapo, then it is a gestapo. Ask the people of Germany what they think of our ICE regime.","2026-02-16T16:34:46.078Z"
"nanarose2018.bsky.social","I think some people are turning. Please welcome anyone who sees the left as the righteous way. We must be inclusive and be a party of acceptance and fairness. Promise to right the wrongs and make things better. We could always do better. See what other success in other democracies. Replicate!!","2026-02-16T16:31:27.583Z"
"nanarose2018.bsky.social","This guy is so spot on with his data points and so spot on with his descriptions of the evil Cunt known as Bondi. She is like some super villain from a avengers movie. I love him 💖💖💖💖 👇👇👇👇👇👇👇 youtube.com/shorts/mYijV...","2026-02-16T16:27:12.744Z"
"nanarose2018.bsky.social","These are high-tech lowlife douchebags. When SHITLER'S Turd Reich is gone, these motherfuckers must be put in check and held to account?","2026-02-16T14:23:13.669Z"
"nanarose2018.bsky.social","This is worth reading. I feel a ray of hope.","2026-02-16T14:58:14.073Z"
"nanarose2018.bsky.social","Ladies and gentlemen she is fucking right! 👇👇👇👇👇👇👇👇👇 Where are those investivative journalist? Who will be our next Woodward and Bernstein? Who will expose this administration and win a Pulitzer? I fancy a team of independent media people getting it together. Please! youtube.com/shorts/9hVEX...","2026-02-16T14:35:51.085Z"
"nanarose2018.bsky.social","youtube.com/shorts/YPzeh...","2026-02-16T02:20:39.350Z"
"nanarose2018.bsky.social","It was a prophecy. We are living in a twilight zone. Everything feels fucked up. Hard to know if you can trust anyone.","2026-02-15T20:02:47.073Z"
"nanarose2018.bsky.social","What Trump touches turns to shit: 1) Executive Branch 2) Judicial Branch 3) Legislature Branch 4) State and Local Officials 5) Fox, CNN, NBC News, MS NOW 6) Americans 7) Rednecks 8) The World SO QUIT VOTING FOR THIS SHIT MAKER!!!!!!!!!!!!!!","2026-02-15T16:51:19.730Z"
"nanarose2018.bsky.social","I love this man. I feel his pain and anger. 💖💖💖💖 youtube.com/shorts/L0eCr...","2026-02-15T19:56:41.079Z"
"nanarose2018.bsky.social","If you like someone’s content, don’t hesitate to repost, comment on it, and like it. It’s the best way to show support, it’ll make their day, and it’ll massively boost their reach.❤️ """"We rise by lifting others.""""🦾😎 """"Apes together strong.""""🐒🐒🐒 #LOVE #support #gratitude","2026-02-09T21:28:18.493Z"
"nanarose2018.bsky.social","I think we are going to have a Democratic-controlled Senate. And all we will need for the leadership of that Democratic Senate to do is hold actual, real, impeachment trials. As the Constitution requires. Not the bullshit fake trials like the ones that the Senate held in 2020 and 2021...","2026-02-15T16:49:51.875Z"
"nanarose2018.bsky.social","go.bsky.app/6qQJP7d A mix of small to large accounts, all vetted. Repost the pack for best results. Celebrating Connections😃 Smash the Follow All 👣 Repost ♻️ Like💙 Comment 💬 Memes💌 New 🆕 Peeps in the comments #JulesMiniPack in the comments 😲 Release the #Epstein Files!","2026-02-15T14:58:08.600Z"
"nanarose2018.bsky.social","NFL franchise owners in the EPSTEIN e-mails & assorted docs Partial list: *Robert Kraft, owner of the New England Patriots *Steve Tisch, co-owner of the New York Giants *Stephen Ross, owner of the Miami Dolphins *Zygi Wilf, owner of the Minnesota Vikings *Arthur Blank, owner of the Atlanta Falcons","2026-02-14T19:30:09.142Z"
"nanarose2018.bsky.social","Thus look gives me the hebie jibes. She absolutely personifies evil cruelty. This picture is worth 1000 words starting with she's a vile Cunt.","2026-02-15T05:02:45.688Z"
"nanarose2018.bsky.social","Read and share. johnpavlovitz.substack.com/p/dear-pam-b...","2026-02-15T05:00:56.113Z"
"nanarose2018.bsky.social","The divergence remains just as pronounced in the S&P/TSX Composite Index's 32% gain, compared with the S&P 500's 14% return so far in 2025. #MOG8","2026-02-14T15:13:25.318Z"
"nanarose2018.bsky.social","Who is getting the money being paid for pardons? If it is that orange orangutan, isn't that treason? Sounds like treason to me. Impeach him and his corrupt facist regime.","2026-02-14T15:23:07.105Z"
"nanarose2018.bsky.social","""""The right people""""?????? What could that possibly meant? Perhaps only mango Mussolini voters? Or only white GOP people? What could she possibly mean?","2026-02-14T15:20:06.484Z"
"nanarose2018.bsky.social","The only woman who protects pedophiles more than Ghislaine Maxwell is Pam Bondi.","2026-02-12T17:34:48.373Z"
"nanarose2018.bsky.social","Zorro Ranch never investigated as a crime scene, now owned by Republican Don Huffine. Scripps News: Email alleges two girls were strangled to death and buried on state land behind Epstein's Zorro Ranch. From 14:18-21:18 in video. #discover #Epstein www.youtube.com/watch?v=OAqN...","2026-02-14T14:57:13.091Z"
"nanarose2018.bsky.social","Fucking insane","2026-02-14T15:09:25.692Z"
"nanarose2018.bsky.social","youtube.com/post/UgkxK5m...","2026-02-14T13:52:22.498Z"
"nanarose2018.bsky.social","youtube.com/post/UgkxR0w...","2026-02-14T13:50:34.528Z"
"nanarose2018.bsky.social","Good. Democrats please hold the line. There may not be a next time. The facisim is taking over. Our country has become a war zone with ICE and citizens being terrorized. We are a bana republic with an orange orangutang he for a president.","2026-02-14T13:42:10.400Z"
"nanarose2018.bsky.social","WE FOUND THE WASTE, FRAUD, AND ABUSE. Nope! I don’t want my tax dollars funding DHS brutality, and I definitely don’t want it paying for Kristi Noem and Corey Lewandowski to jet-set around the country and fuck in a private cabin on a luxury $70M 737 Max. Listen to this mess.","2026-02-14T02:26:45.895Z"
"nanarose2018.bsky.social","The Republican idiots ONLY hate Bad Bunny because the President of Puerto Rico is a Pedophile. Think about it. Take all the time you need.","2026-02-14T13:34:53.942Z"
"nanarose2018.bsky.social","Republican politics for dummies 🤡","2026-02-14T13:34:53.994Z"
"nanarose2018.bsky.social","Yes do it now. Let the survivors name their perpetrators.","2026-02-14T13:35:01.027Z"
"nanarose2018.bsky.social","Swalwell: ICE agents shot Alex Pretti and Renee Good. And the only person in the world who has been held accountable by DHS is the pilot who somehow forgot to move Kristi Noem’s blankie.","2026-02-14T02:27:48.216Z"
"nanarose2018.bsky.social","So frustrating. It's cult mentality. Some are now so hardwired they will never see or admit the truth. THE PRESIDENT IS A PEDOPHILE. Unredact the entire Epstein file let the investigation's begin. Pedophiles deserve prosecution. Pedophiles deserve prison.","2026-02-14T13:32:39.665Z"
"nanarose2018.bsky.social","Requiring the gov’t to do the right thing may look like a small thing in the context of one case, but it’s important to understand just how big it is. Judge Boasberg rules in the case where the Trump administration sent men to CECOT prison. joycevance.substack.com/p/judge-boas...","2026-02-14T04:00:56.088Z"
"nanarose2018.bsky.social","Having done my practicum at MSU Sexual Assault Crisis Center and supporting a LOT of victims of rape on campus and elsewhere -- and working to change the fact that it's the most under-reported of all crimes -- I can assure you that I hate this bitch.","2026-02-14T13:25:53.469Z"
"nanarose2018.bsky.social","Any Democrat that intends to run for President, should announce now . Let’s start eliminating names from the Epstein Files","2026-02-13T15:00:32.953Z"
"nanarose2018.bsky.social","substack.com/@reallyameri...","2026-02-14T13:17:19.729Z"
"nanarose2018.bsky.social","substack.com/@democraticw...","2026-02-14T13:25:27.448Z"
"nanarose2018.bsky.social","Same, Lady Gaga. Same.","2026-02-13T17:05:13.491Z"
"nanarose2018.bsky.social","youtube.com/post/UgkxWM5...","2026-02-14T02:17:07.844Z"
"nanarose2018.bsky.social","He exhausts me","2026-02-13T16:48:46.722Z"
"nanarose2018.bsky.social","In 2014, Bondi had the chutzpah to run a campaign ad declaring that she was shutting down human trafficking in which """"young children are enslaved and abused."""" She also declare that she would """"fight to put human trafficking monsters where they belong."""" So, she thinks they belong in the White House?","2026-02-13T02:36:40.095Z"
"nanarose2018.bsky.social","Thank you let's get this ball rolling. Number 1","2026-02-13T16:18:22.511Z"
"nanarose2018.bsky.social","TY @bluestormcomin1.bsky.social! Pam is definitely his pedo woman.","2026-02-13T03:56:43.336Z"
"nanarose2018.bsky.social","youtube.com/shorts/MMigP...","2026-02-13T01:45:38.535Z"
"nanarose2018.bsky.social","youtube.com/post/Ugkx88C...","2026-02-13T00:39:02.035Z"
"nanarose2018.bsky.social","Looks like liquid bandaid.","2026-02-12T19:38:07.986Z"
"nanarose2018.bsky.social","About time youtube.com/post/UgkxO-_...","2026-02-12T16:24:03.283Z"
"nanarose2018.bsky.social","Raskin: """"I want the whole country to look at this. This is the attorney general of the US whose job is law enforcement. We've never had a witness who has misunderstood our rules and been unable to conform his or her conduct to our rules before. Excuse me.""""","2026-02-11T17:31:40.958Z"
"nanarose2018.bsky.social","Are his fingers crossed?","2026-02-12T15:55:51.907Z"
