"user","post","date"
"nickcyclingchemist.bsky.social","Total is now 2626.00 miles for #MilesAgainstMAGATS Totals: Me: 2610.47 miles @amberg.bsky.social = 15.53 miles If you’d like to be included, pls send me your mileage. #cycling #bikesky #bicycling #cyclinglife #bike #bikelife #roadcycling #cycle","2026-02-18T04:46:37.699Z"
"nickcyclingchemist.bsky.social","Weekly Connections for the past week. Enjoy! go.bsky.app/ABrDQMF","2026-02-16T21:51:53.607Z"
"nickcyclingchemist.bsky.social","Where income goes to become disposable. Shop the Onion Store today. https://store.theonion.com/products/i-just-love-corporations-t-shirt?variant=41702778470469","2026-02-14T23:30:03.006178455Z"
"nickcyclingchemist.bsky.social","Two men and a woman were detained in separate Tuscon locations as the Nancy Guthrie investigation reaches its second week.","2026-02-14T14:35:06Z"
"nickcyclingchemist.bsky.social","Moskowitz: By the president’s own metrics, what accomplishments does Noem have? • She’s holding up 200 miles of border wall. • She’s deported fewer people than Obama. • She’s not helping any of these red-state governors with their disasters. Why hasn’t he fired her?","2026-02-15T00:00:37.006Z"
"nickcyclingchemist.bsky.social","It’s a beautiful day in Minnesota. Spring is coming, people.","2026-02-14T22:29:13.997Z"
"nickcyclingchemist.bsky.social","Total is now 2610.33 miles for #MilesAgainstMAGATS Totals: Me: 2594.80 miles @amberg.bsky.social = 15.53 miles If you’d like to be included, pls send me your mileage. #cycling #bikesky #bicycling #cyclinglife #bike #bikelife #roadcycling #cycle","2026-02-15T00:45:03.709Z"
"nickcyclingchemist.bsky.social","Ty & GM Ann 💕 @annmb48.bsky.social @nickcyclingchemist.bsky.social @schultziepie.bsky.social @phoenix509.bsky.social @sedahr.bsky.social @decker2000.bsky.social @docmurphydog.bsky.social @lms2025.bsky.social @ltwlauren.bsky.social @dpsl.bsky.social @platogue.bsky.social @itistherealjas.bsky.social","2026-02-13T10:06:20.680Z"
"nickcyclingchemist.bsky.social","Total is now 2602.32 miles for #MilesAgainstMAGATS Totals: Me: 2586.79 miles @amberg.bsky.social = 15.53 miles If you’d like to be included, pls send me your mileage. #cycling #bikesky #bicycling #cyclinglife #bike #bikelife #roadcycling #cycle","2026-02-13T05:32:09.422Z"
"nickcyclingchemist.bsky.social","Ty Vic @tdssister.bsky.social 🩵 @nickcyclingchemist.bsky.social @crankyoldcrackpot.bsky.social @dpsl.bsky.social @decker2000.bsky.social @katarinakriz.bsky.social @hopeful66.bsky.social @abbarsha.bsky.social @atoth99.bsky.social @annmb48.bsky.social @mlipsitt.bsky.social @fireeyebooks.bsky.social","2026-02-12T22:17:41.258Z"
