"user","post","date"
"themav.bsky.social","ICE needs to be defunded and dismantled. There is a fine line between law enforcement and paramilitary - and they crossed it! #TyrantTrump #DefundICE","2026-01-26T10:57:27.834Z"
"themav.bsky.social","ICE is detaining a 5 year old boy. If you get off on this, you’re a monster and don’t you dare pretend to worship God.","2026-01-22T23:18:16.094Z"
"themav.bsky.social","The little man who tried to own Greenland #NoKings #FuckTrump youtube.com/shorts/M_90f...","2026-01-23T01:23:23.283Z"
"themav.bsky.social","Where to begin with all that's wrong with #DJT 's letter? I have an in-depth analysis for anyone who cares to know.","2026-01-21T18:25:27.392Z"
"themav.bsky.social","@robertkrakow2024.bsky.social your account doesn't show your personal stance. Post more of your own content rather than reposting that of others if you want more people to follow you. I will hold off on my follow back until such time. Yes, I'm a nitpicker 😁","2026-01-21T09:30:09.593Z"
"themav.bsky.social","Every Republican member of Congress should be forced to read this out loud in public.","2026-01-19T14:31:29.889Z"
"themav.bsky.social","Well said. We have discussions. We don't just regurgitate what someone tells us but instead add our own 2 cents to make it better. 💙","2026-01-20T12:49:39.337Z"
"themav.bsky.social","@elliot-hanes.bsky.social thx for the follow. I miss Columbus but I miss Ohio even more.","2026-01-19T15:11:47.680Z"
"themav.bsky.social","Leute, seid froh dass die #DSGVO Europäer vor Stasi-Software wie #Palantir schützt.","2026-01-19T11:38:09.808Z"
"themav.bsky.social","@dutchessoto.bsky.social I'm not a large account but I follow those who add value so I'm following you now.","2026-01-19T10:50:43.039Z"
"themav.bsky.social","@mi-hau.bsky.social danke für deinen Follow. Schön ein paar deutschsprachige Demokraten hier zu sehen.","2026-01-19T10:45:47.100Z"
"themav.bsky.social","“A pastor here is also director of the field office for ICE… so someone teaching people about God is out there overseeing ICE agents. How dare you.” Twin cities protestors disrupt a church service at an ICE field office director’s church. (H/T @bygeorgiafort.bsky.social )","2026-01-18T21:58:00.953Z"
"themav.bsky.social","@brettharper.bsky.social You are taking the words out of my mouth #StopF45cism #StopF45cism #StopF45cism, dang it #BlueLightning","2026-01-13T22:35:44.427Z"
"themav.bsky.social","The White House announced that the John F. Kennedy Memorial Center for the Performing Arts would be renamed the Donald J. Trump and the John F. Kennedy Memorial Center for the Performing Arts, or the Trump Kennedy Center. The list is long for renaming but this one takes the prize for arrogance!","2025-12-27T20:23:54.807Z"
"themav.bsky.social","It's no longer left versus right or even Democrat versus Republican. It’s now democracy versus oligarchy. Freedom versus dictatorship. Right versus wrong. People are awakening to this new reality — and they're speaking up. The sleeping giant of America is roaring.","2026-01-12T18:23:08.666741Z"
"themav.bsky.social","PeeWee German must have received too many wedgies back in the day.","2026-01-12T19:43:13.569Z"
"themav.bsky.social","Apparently, it is now acceptable to attain a new status in life, simply by proclamation. I hereby declare I am a 6' 2"""", 27 yr-old EGOT winner who is currently dating Taylor Swift. Thank you for your attention to our delusions.","2026-01-13T20:07:28.491Z"
"themav.bsky.social","Just fixed my Bluesky following count - removed 925 inaccurate accounts using blueskytracker.app","2026-01-13T20:46:04.914Z"
