"user","post","date"
"theogeb73.bsky.social","Fight together or fall separately. ✊💙✊","2025-04-04T06:49:28.838Z"
"theogeb73.bsky.social",".","2025-04-04T04:50:27.529Z"
"theogeb73.bsky.social","This","2024-12-21T03:23:23.964Z"
"theogeb73.bsky.social","www.instagram.com/reel/DG81Bdk...","2025-03-08T19:56:05.518Z"
"theogeb73.bsky.social","www.instagram.com/reel/DGcXIeS...","2025-03-08T19:46:33.626Z"
"theogeb73.bsky.social","I’m thinking the same , Rob !! We need to do something. No one is going to save us , but us !!","2025-03-08T17:41:47.343Z"
"theogeb73.bsky.social","Here's My Salute to Nazis, Elon. Hope you like it. Get the T-shirt. www.etsy.com/listing/1882...","2025-03-02T21:33:58.077Z"
"theogeb73.bsky.social","I'm ready. 👍💙🫶","2025-03-06T03:18:23.373Z"
"theogeb73.bsky.social","Every morning since inauguration day!","2025-03-03T13:22:03.047Z"
"theogeb73.bsky.social","Marjorie Trailer Greene is concerned with decorum all of a sudden. 🥴","2025-03-05T02:40:50.509Z"
"theogeb73.bsky.social","Conscience of Congress Removed: Al Green Walked Out: Jasmine Crockett, Maxwell Frost, Maxine Dexter, Andrea Salinas, LaMonica McIver, Sydney Kamlager-Dove, and several others Refused to Attend: AOC, Chris Murphy, Ron Wyden, Patty Murray, Gerry Connolly, Don Beyer History will honor these names 🔝","2025-03-05T04:19:06.815Z"
"theogeb73.bsky.social","He wants the roads, he wants the trains, He wants the tunnels, cars, and planes! He wants the tweets, he wants the stars, He wants to sell you trips to Mars! He’s not elected, not one vote! He wants to send folks back on boats. He’s odd and gives us all the ick, He’s truly just a rich white prick.","2025-02-14T20:23:24.207Z"
"theogeb73.bsky.social","👇💯","2025-03-01T16:12:22.537Z"
"theogeb73.bsky.social","www.threads.net/@cyaeghauk/p...","2025-03-02T00:08:14.050Z"
"theogeb73.bsky.social","You have power. Use it.","2025-02-24T10:42:37.393Z"
"theogeb73.bsky.social","#revolution2025 #boycott","2025-02-23T16:14:46.738Z"
"theogeb73.bsky.social","Oralè Resister No Kings in America! #USDemocracy #March4Liberty","2025-02-24T12:15:44.710Z"
"theogeb73.bsky.social","'Share' this post if you agree!","2025-02-24T09:50:14.338Z"
"theogeb73.bsky.social","🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗🎀💗made me laugh","2025-02-24T07:12:36.511Z"
"theogeb73.bsky.social","“Woke just means you give a damn about other people.” -Jane Fonda","2025-02-24T03:11:18.946Z"
"theogeb73.bsky.social","This, right here…👇 Pass. It. On. 🌈✨","2025-02-24T08:45:05.621Z"
"theogeb73.bsky.social","#FBaRmy🤴✨️ @radarresistp.bsky.social @childless-cat-dad.bsky.social @bluestormcomin1.bsky.social @sassysister27.bsky.social @gentlem.bsky.social @laladi.bsky.social @dynavox.bsky.social @jacqueline321.bsky.social @beccakittybear.bsky.social @merlinmm.bsky.social @vonda.bsky.social @sfmjm.bsky.social","2025-02-06T02:31:19.605Z"
"theogeb73.bsky.social","It’s all about the cruelty…😞💔😞","2025-02-06T06:58:11.535Z"
"theogeb73.bsky.social","Lock him up!","2025-02-04T18:18:48.430Z"
"theogeb73.bsky.social","Can’t stop reading this paragraph over and over. open.substack.com/pub/newmeans...","2025-01-27T03:48:41.491Z"
"theogeb73.bsky.social","Please send this to your maga friends family and neighbors. They need to see what they support. Don’t let them look away. And please share images of Jan 6’fornthebnext 48 hours. Photos and video #maga #trump #14thamendment","2025-01-05T21:13:20.914Z"
"theogeb73.bsky.social","It’s Sunday, so let’s share the good word: If churches want to play politics, they can pay taxes like the rest of us. God doesn’t need a tax break, but millionaire pastors sure seem to love one.","2025-01-05T19:33:44.553Z"
"theogeb73.bsky.social","I can’t love this more.","2025-01-05T15:46:43.094Z"
