"user","post","date"
"toddkolod.bsky.social","You shouldn’t have to smile when you are talking about sexual assault survivors. youtube.com/shorts/uBXsN...","2026-02-18T12:57:55.946Z"
"toddkolod.bsky.social","Killing Russian oil is Ukraine’s best path to victory. Donald Trump only offers a dagger in the back.","2026-02-18T09:05:54.561Z"
"toddkolod.bsky.social","🐍","2026-02-18T04:32:31.147Z"
"toddkolod.bsky.social","It’s been 38 years since a Democrat represented Texas in the US Senate. youtu.be/EDee8yfY78I?...","2026-02-18T07:33:29.864Z"
"toddkolod.bsky.social","Please share everywhere. youtu.be/oiTJ7Pz_59A?...","2026-02-18T06:43:06.125Z"
"toddkolod.bsky.social","The CBS lawyers are weaklings. youtu.be/Vawt9DsW3yk?...","2026-02-18T06:38:17.848Z"
"toddkolod.bsky.social","🇺🇦YEAR 4/DAY 360 of Russia's 2nd illegal invasion of Ukraine that Donald Trump lied about ending in 24 hours. Marco Rubio is an empty shell. Donald Trump attacks our allies while siding with our enemies. Vote every single Republican out in November.","2026-02-18T06:08:23.403Z"
"toddkolod.bsky.social","Hoping and praying that Ukraine can seize the moment with the gap in Starlink services.","2026-02-18T06:04:52.304Z"
"toddkolod.bsky.social","Donald Trump is a raging cesspool. Hope and pray your children never become like Trump.","2026-02-18T05:18:52.752Z"
"toddkolod.bsky.social","""""Keep hope alive."""" Vote like hell in November. Vote every Republican out. www.youtube.com/watch?v=40sc...","2026-02-17T15:55:08.470Z"
"toddkolod.bsky.social","Cartoon by Jeff Koterba","2026-02-16T14:31:49.777Z"
"toddkolod.bsky.social","Marco Rubio’s soul has turned to chopped liver.","2026-02-17T13:00:45.206Z"
"toddkolod.bsky.social","Marco Rubio’s soul has turned to ashes. youtu.be/68jOD5FGF4k?...","2026-02-17T12:54:46.822Z"
"toddkolod.bsky.social","I was part of Jesse Jackson’s Rainbow Coalition in 1988. I found it immensely inspiring. I saw first hand how this coalition paved the way for Paul Wellstone’s upset US Senate victory in 1990.","2026-02-17T12:14:18.441Z"
"toddkolod.bsky.social","Kill Russia’s military. Putin, Lavrov and Peskov are war criminals.","2026-02-17T10:43:43.899Z"
"toddkolod.bsky.social","Vladimir Putin murders his opponents. Meanwhile Donald Trump embraces Putin. Vote every Republican out in November. MAGA is a cesspool.","2026-02-17T10:36:21.949Z"
